"","age","sex","civil_status","education","professional_experience","COMP1","COMP2","COMP3","COMP4","COMP5","CONF1","CONF2","CONF3","CONF4","CONF5","INSE1","INSE2","INSE3","INSE4","INSE5","alene","leder","bransje","kjønn","complexity"
"114",28,2,2,3,"5",4,4,4,5,4,3,3,4,3,4,2,2,2,1,1,FALSE,FALSE,"Helse og omsorg","mann",21
"115",43,1,2,3,"21",2,1,2,3,2,4,4,4,2,2,1,1,1,1,1,FALSE,FALSE,"Helse og omsorg","kvinne",10
"116",44,1,3,3,"20",1,1,2,4,1,1,1,1,1,1,1,1,1,1,1,FALSE,FALSE,"Helse og omsorg","kvinne",9
"117",27,1,1,4,"2",1,1,2,3,3,2,1,2,2,2,1,1,2,1,2,TRUE,FALSE,"Annet","kvinne",10
"118",57,1,3,4,"22",5,6,6,4,7,6,5,5,4,5,1,1,2,1,1,FALSE,FALSE,"Annet","kvinne",28
"119",42,1,2,3,"1",5,6,5,5,5,2,2,2,2,2,2,2,2,1,2,FALSE,FALSE,"Helse og omsorg","kvinne",26
"120",43,1,5,3,"16",7,7,7,7,7,3,2,2,2,2,6,2,2,1,1,TRUE,FALSE,"Helse og omsorg","kvinne",35
"121",28,1,2,2,"10",2,2,2,3,4,1,5,5,5,5,2,1,1,2,1,FALSE,TRUE,"Annet","kvinne",13
"122",38,1,1,4,"15",5,4,3,6,6,1,1,1,1,1,1,1,1,1,1,TRUE,FALSE,"Annet","kvinne",24
"123",36,1,3,3,"1",6,6,7,7,7,6,5,6,6,6,4,2,4,1,1,FALSE,FALSE,"Helse og omsorg","kvinne",33
"124",42,1,2,4,"15",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE,TRUE,"Annet","kvinne",5
"125",38,1,2,4,"15",5,5,4,6,6,7,6,6,7,7,3,1,1,1,1,FALSE,TRUE,"Helse og omsorg","kvinne",26
"126",44,1,1,4,"25",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE,FALSE,"Helse og omsorg","kvinne",5
"127",20,1,1,2,"2",5,7,5,7,7,1,4,4,1,1,7,2,1,1,3,TRUE,FALSE,"Helse og omsorg","kvinne",31
"128",24,2,1,3,"4",3,3,2,4,4,1,2,1,1,1,1,1,1,1,1,TRUE,FALSE,"Helse og omsorg","mann",16
"129",43,1,6,3,"18",5,5,6,7,7,1,1,1,1,1,1,1,1,1,1,TRUE,FALSE,"Helse og omsorg","kvinne",30
"130",51,2,5,2,"33",1,1,1,4,3,4,2,4,3,3,1,1,1,1,1,TRUE,TRUE,"Annet","mann",10
