"","Org_num","Alder","Engasjement","Utbrenthet","Overbelastning","Kynisme","Medarbeiderskap","Turnoverintensjon","Informasjonogforutsigbarhet","Medvirkning","Autonomi","Tilbakemelding","Investeringimedarbeiderutvikling","Ledelseskvalitet","Støttefrakolleger","Klarhetimål","Interntsamarbeid","Arbeidspress","Kjønn","Barn_num","Eng1","Eng2","Eng3","Eng4","Eng5","Eng6","Medarb1","Medarb2","Medarb3","Medarb4","Overb1","Overb2","Overb3","Overb4","Kyn1","Kyn2","Kyn3","Turn1","Turn2","Turn3","Info1","Info2","Medv1","Medv2","Medv3","Auto1","Auto2","Auto3","Tilbm1","Tilbm2","Tilbm3","Inv1","Inv2","Inv3","LK1","LK2","LK3","LK4","LK5","Stk1","Stk2","Stk3","Stk4","Stk5","Stk6","Stk7","Kmål1","Kmål2","Kmål3","Ints1","Ints2","Ints3","Ints4","Ints5","Arbp1","Arbp2","Arbp3"
"416",2,35,3.5,2.42857142857143,3,1.66666666666667,4.25,1,4,3.333,4,4,2.333,3.6,3.571,3.333,3,3,2,1,4,3,4,4,4,2,4,4,5,4,3,1,4,4,2,2,1,1,1,1,4,4,3,4,3,4,4,4,4,4,4,2,2,3,4,4,2,4,4,3,4,3,4,4,3,4,3,3,4,3,2,3,4,3,3,3,3
"417",2,35,3.667,2,1.75,2.33333333333333,3.25,3.667,4.5,4.333,4,5,4.333,5,4,3.667,4,2.333,1,2,4,4,4,4,3,3,3,3,4,3,2,1,2,2,3,2,2,4,3,4,4,5,5,4,4,4,4,4,5,5,5,4,4,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,4,5,4,3,4,4,3,2,2
"418",2,35,3.667,2.28571428571429,1.75,3,4,1.333,4.5,5,4,3.667,4,4,4.714,4,3.8,3,1,1,4,4,3,4,4,3,4,4,4,4,2,2,1,2,3,3,3,2,1,1,5,4,5,5,5,4,4,4,4,3,4,4,4,4,5,4,4,4,3,5,5,4,4,5,5,5,4,4,4,4,3,4,4,4,2,4,3
"419",2,35,3.667,2.42857142857143,2.5,2.33333333333333,3.75,2.333,3.5,2.667,3.667,3,3.333,3.6,3.571,3.667,4,2.333,2,1,4,4,3,4,4,3,4,4,4,3,2,3,2,3,2,2,3,2,2,3,3,4,2,3,3,4,4,3,3,3,3,3,4,3,3,4,4,3,4,4,4,4,4,3,3,3,4,3,4,4,4,4,4,4,2,3,2
"420",2,35,3.833,3.85714285714286,5,2.33333333333333,4,1.333,5,5,5,2,3,4,4.143,2,4,4.333,1,2,4,4,4,4,4,3,4,4,4,4,5,5,5,5,3,3,1,2,1,1,5,5,5,5,5,5,5,5,2,2,2,4,3,2,4,4,5,4,3,4,4,4,5,4,4,4,3,1,2,5,4,4,4,3,4,5,4
"421",2,35,4,2,2,2,5,1.333,4,4,4,5,4,4,4,3.333,4.2,3,2,1,4,4,4,4,4,4,5,5,5,5,2,2,2,2,2,2,2,1,2,1,4,4,4,4,4,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,5,4,4,4,4,3,2
"422",2,35,4,3.14285714285714,4,2,3.75,1,5,4,3,4.333,2.333,4.2,4.714,4.333,4.2,5,1,2,4,4,4,4,4,4,3,4,4,4,4,4,4,4,1,1,4,1,1,1,5,5,4,4,4,3,3,3,5,4,4,2,2,3,4,5,4,3,5,4,5,4,5,5,5,5,4,4,5,5,5,3,4,4,5,5,5
"423",2,35,4,3,3,3,3,2,4,2.667,3.667,4,4,4,4,4,3.8,3,1,2,4,4,4,4,4,4,2,2,4,4,3,3,3,3,3,3,3,2,2,2,4,4,3,2,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,3
"424",2,35,4,2.42857142857143,2.5,2.33333333333333,4.75,2.667,3,2,4,3.667,3.667,3,4,4,3.8,4,2,2,4,4,4,4,4,4,5,5,5,4,3,3,2,2,2,2,3,3,2,3,2,4,2,2,2,4,4,4,4,3,4,4,3,4,2,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4
"425",2,35,4,2,2,2,3,4.667,2.5,2.667,4,2.667,2.333,2.6,3.857,2.333,4,3.667,1,1,4,4,4,4,4,4,5,2,1,4,2,2,2,2,2,2,2,4,5,5,3,2,3,2,3,4,4,4,3,2,3,3,1,3,3,3,2,3,2,4,4,4,4,4,4,3,2,2,3,5,4,4,4,3,4,4,3
